,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
3616,2015,3,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,171.89423076900002,104.0,0.0,1.0,9.0,0.221153846154,6.0,17.8333333333,2.49038461538,0.0,0.5,0.0,0.5,0.0,0.0,3.0,24.0,0.0,0.0,2015-03-01,0.0,50.0,0.0,50.0,0.0,0.0
3617,2015,3,BREST,PARIS MONTPARNASSE,271.376623377,231.0,0.0,1.0,6.0,0.034632034632,13.0,32.6923076923,1.96103896104,0.615384615385,0.3846153846149999,0.0,0.0,0.0,0.0,13.0,32.6923077,2.0,1.0,2015-03-01,61.5384615385,38.4615384615,0.0,0.0,0.0,0.0
3618,2015,3,PARIS MONTPARNASSE,ST PIERRE DES CORPS,62.2641304348,460.0,0.0,3.0,20.3333333333,0.2152173913039999,23.0,15.3913043478,0.413043478261,0.391304347826,0.304347826087,0.0869565217391,0.0869565217391,0.130434782609,0.0,7.0,28.5714286,2.0,0.0,2015-03-01,39.130434782600005,30.4347826087,8.69565217391,8.69565217391,13.0434782609,0.0
3619,2015,3,PARIS MONTPARNASSE,TOURS,73.8664921466,191.0,0.0,2.0,16.0,0.261780104712,15.0,14.1333333333,1.52879581152,0.285714285714,0.285714285714,0.0714285714286,0.214285714286,0.142857142857,0.0,5.0,25.6,2.0,0.0,2015-03-01,28.5714285714,28.5714285714,7.1428571428600005,21.4285714286,14.2857142857,0.0
3622,2015,4,LAVAL,PARIS MONTPARNASSE,104.091880342,234.0,0.0,24.0,12.7083333333,1.99572649573,7.0,25.5714285714,0.833333333333,0.285714285714,0.285714285714,0.428571428571,0.0,0.0,0.0,3.0,43.6666667,1.0,1.0,2015-04-01,28.5714285714,28.5714285714,42.8571428571,0.0,0.0,0.0
3623,2015,10,PARIS EST,STRASBOURG,143.317567568,444.0,0.0,17.0,15.5882352941,0.731981981982,29.0,20.7931034483,2.06981981982,0.107142857143,0.428571428571,0.25,0.107142857143,0.0357142857143,0.0714285714286,14.0,29.0,4.0,0.0,2015-10-01,10.7142857143,42.8571428571,25.0,10.7142857143,3.5714285714300003,7.1428571428600005
3625,2015,10,PARIS LYON,DIJON VILLE,95.9430107527,465.0,0.0,17.0,15.5294117647,0.658064516129,23.0,20.565217391300003,1.13978494624,0.333333333333,0.285714285714,0.047619047619,0.0952380952381,0.190476190476,0.047619047619,11.0,29.9090909,4.0,1.0,2015-10-01,33.333333333300004,28.5714285714,4.7619047619,9.523809523810002,19.0476190476,4.7619047619
3626,2015,10,MONTPELLIER,PARIS LYON,206.69139465900005,337.0,0.0,48.0,18.1041666667,3.0,45.0,37.0,3.910979228490001,0.390243902439,0.390243902439,0.0731707317073,0.0731707317073,0.0487804878049,0.0243902439024,45.0,37.0,20.0,3.0,2015-10-01,39.0243902439,39.0243902439,7.31707317073,7.31707317073,4.87804878049,2.43902439024
3627,2015,10,PARIS MONTPARNASSE,QUIMPER,267.69154228900004,201.0,0.0,10.0,16.5,0.915422885572,17.0,42.411764705900005,4.45273631841,0.0714285714286,0.428571428571,0.214285714286,0.214285714286,0.0,0.0714285714286,17.0,42.411764700000006,9.0,3.0,2015-10-01,7.1428571428600005,42.8571428571,21.4285714286,21.4285714286,0.0,7.1428571428600005
3629,2015,10,PARIS MONTPARNASSE,TOURS,73.8221649485,194.0,0.0,4.0,15.25,0.494845360825,24.0,13.75,2.56701030928,0.25,0.291666666667,0.125,0.0416666666667,0.25,0.0416666666667,7.0,25.142857100000004,1.0,0.0,2015-10-01,25.0,29.1666666667,12.5,4.16666666667,25.0,4.16666666667
